artigo_id;titulo;trilha;controller;action;confianca
1-4-hierarquia-de-perfis-e-permissoes;Hierarquia de Perfis e Permissões;Administrador;Administracao;PerfilHierarquia;baixa
1-7-cadastro-de-empresa-fornecedor-prestador;Cadastro de Empresa (Fornecedor/Prestador);Administrador;CadastroBasico;FornecedorIndex;alta
1-8-cadastro-de-cliente-unidade-hoteleira;Cadastro de Cliente (Unidade Hoteleira);Administrador;Administracao;ClienteIndex;alta
1-9-configuracao-de-pesos-do-dashboard-de-desempenho;Configuração de Pesos do Dashboard de Desempenho;Administrador;Governanca;Dashboard;alta
2-1-cadastro-de-unidades;Cadastro de Unidades;Gestor — Cadastros;CadastroBasico;UnidadeIndex;alta
2-10-cadastro-de-funcoes;Cadastro de Funções;Gestor — Cadastros;CadastroBasico;FuncaoIndex;alta
2-11-cadastro-de-departamentos;Cadastro de Departamentos;Gestor — Cadastros;CadastroBasico;DepartamentoIndex;alta
2-12-gestores-de-departamento;Gestores de Departamento;Gestor — Cadastros;CadastroBasico;DepartamentoIndex;alta
2-13-criacao-de-checklists;Criação de Checklists — Rotina, Preventiva e Governança;Gestor — Cadastros;CadastroBasico;PreventivaIndex;alta
2-14-prioridades-e-regras-de-notificacao;Prioridades e Regras de Notificação;Gestor — Cadastros;CadastroBasico;PrioridadeIndex;alta
2-15-cadastro-de-fornecedores;Cadastro de Fornecedores;Gestor — Cadastros;CadastroBasico;FornecedorIndex;alta
2-16-produtos-e-grupos-de-estoque;Produtos e Grupos de Estoque;Gestor — Cadastros;CadastroBasico;ProdutoIndex;alta
2-17-mapa-de-manutencao-e-itens-gerais;Mapa de Manutenção e Itens Gerais;Gestor — Cadastros;CadastroBasico;AtividadeIndex;alta
2-18-cadastro-de-checklist-de-pmoc;Cadastro de Checklist de PMOC — Periodicidade por Item;Gestor — Cadastros;PMOC;PMOCIndex;alta
2-2-cadastro-de-setores-e-areas;Cadastro de Setores e Áreas;Gestor — Cadastros;CadastroBasico;SetorIndex;alta
2-3-cadastro-de-u-h-unidades-habitacionais;Cadastro de U.H. (Unidades Habitacionais);Gestor — Cadastros;CadastroBasico;UnidadeIndex;alta
2-4-tipos-de-u-h-cama-e-ar-condicionado;Tipos de U.H., Cama e Ar Condicionado;Gestor — Cadastros;CadastroBasico;TipoArCondicionadoIndex;alta
2-5-cadastro-de-maquinas-e-equipamentos;Cadastro de Máquinas e Equipamentos;Gestor — Cadastros;CadastroBasico;EquipamentoIndex;alta
2-6-cadastro-de-sistemas-de-ar-condicionado;Cadastro de Sistemas de Ar Condicionado;Gestor — Cadastros;CadastroBasico;ArCondicionadoIndex;alta
2-7-familia-de-equipamentos;Família de Equipamentos;Gestor — Cadastros;CadastroBasico;FamiliaEquipamentoIndex;alta
2-8-categoria-de-servico;Categoria de Serviço;Gestor — Cadastros;CadastroBasico;CategoriaIndex;alta
2-9-cadastro-de-colaboradores;Cadastro de Colaboradores;Gestor — Cadastros;CadastroBasico;FuncionarioIndex;alta
3-10-plano-de-acao;Plano de Ação;Gestor de PCM;PlanoAcao;PlanoAcaoIndex;alta
3-11-historicos-de-preventiva-rotina-e-laudo;Históricos de Preventiva, Rotina e Laudo;Gestor de PCM;PCM;HistoricoPreventiva;alta
3-5-laudo-e-documentacao-tecnica;Laudo e Documentação Técnica;Gestor de PCM;AEB;LaudoIndex;alta
3-6-pmoc-plano-de-manutencao-operacao-e-controle;PMOC — Plano de Manutenção, Operação e Controle;Gestor de PCM;PMOC;PMOCIndex;alta
3-7-requisicao-de-servicos;Requisição de Serviços;Solicitante;PCM;Requisicao;alta
3-8-aprovacao-de-requisicoes;Aprovação de Requisições;Gestor de PCM;PCM;Requisicao;alta
3-9-registro-de-faltas;Registro de Faltas;Gestor de PCM;PCM;FaltaIndex;alta
4-1-gestao-de-estoque;Gestão de Estoque;Almoxarife;;;sem
4-2-requisicao-de-compra;Requisição de Compra;Almoxarife;Estoque;RequisicaoCompra;alta
4-3-ordem-de-compra;Ordem de Compra;Almoxarife;Estoque;OrdemCompra;alta
5-11-relatorio-de-discrepancias;Relatório de Discrepâncias;Governança & Camareira;Governanca;RelatorioUHNC;alta
5-12-checklist-de-governanca;Checklist de Governança;Governança & Camareira;CadastroBasico;ChecklistIndex;alta
5-4-auditoria-corporativa-e-de-qualidade;Auditoria Corporativa e de Qualidade;Qualidade & Auditoria;CadastroBasico;AuditoriaQualidadeIndex;alta
